"Data cubes with housing affordability tables, Housing Occupancy and Costs, 2019-20"
"Table number","Description"
"1.3","Time series, Australia, all households"
"5.1","Australia, All households (except negative or nil gross household income)"
"5.2","Australia, Lower income households"
"6.1","Australia, Age of household reference person"
"8.1","Housing costs as a percentage of income ranges, for lower income households, by states and territories"
"9.1","Recent home buyer households, Australia"
"11.3","Greater Capital City Statistical Areas"
"11.6","States and territories"
"12.3","New South Wales"
"12.6","Victoria"
"12.9","Queensland"
"12.12","South Australia"
"12.15","Western Australia"
"12.18","Tasmania"
"12.21","Northern Territory"
"12.24","Australian Capital Territory"
"13.1","Lower income renter households, National Housing and Homelessness Agreement basis, by state and territory, 2007-08 to 2019-20"

"Source: Australian Bureau of Statistics, Guide to housing affordability statistics 15/02/2023"